agencyname,agencyabbrev,agencycode,agencyacronym,agency
Amtrak,Amtrak,,Amtrak,Amtrak
Brooklyn Bridge Park Corporation,BBPC,,BBPC,Brooklyn Bridge Park Corporation
Brooklyn Public Library,BPL,38,BPL,Brooklyn Public Library
City University of New York,CUNY,42,CUNY,City University of New York
Federal Bureau of Prisons,FBOP,,FBOP,Federal Bureau of Prisons
Hudson River Park Trust,HRPT,,HRPT,Hudson River Park Trust
Hudson Yards Development Corporation,HYDC,,HYDC,Hudson Yards Development Corporation
Metropolitan Transportation Authority,MTA,,MTA,Metropolitan Transportation Authority
New York City Administration for Childrens Services,NYCACS,68,ACS,Administration for Childrens Services
New York City Board of Elections,NYCBOE,3,BOE,Board of Elections
New York City Board of Standards and Appeals,NYCBSA,59,BSA,Board of Standards and Appeals
New York City Borough President - Bronx,NYCBP-BX,11,BP-BX,Borough President - Bronx
New York City Borough President - Brooklyn,NYCBP-BK,12,BP-BK,Borough President - Brooklyn
New York City Borough President - Manhattan,NYCBP-MN,10,BP-MN,Borough President - Manhattan
New York City Borough President - Queens,NYCBP-QN,13,BP-QN,Borough President - Queens
New York City Borough President - Staten Island,NYCBP-SI,14,BP-SI,Borough President - Staten Island
New York City Business Integrity Commission,NYCBIC,831,BIC,Business Integrity Commission
New York City Campaign Finance Board,NYCCFB,4,CFB,Campaign Finance Board
New York City Center for Economic Opportunity,NYCCEO,,CEO,Center for Economic Opportunity
New York City Civil Service Commission,NYCCSC,134,CSC,Civil Service Commission
New York City Civilian Complaint Review Board,NYCCCRB,54,CCRB,Civilian Complaint Review Board
New York City Commission on Human Rights,NYCCCHR,226,CCHR,Commission on Human Rights
New York City Community Board 102,NYCCB102,441,CB102,Community Board 102
New York City Community Board 103,NYCCB103,441,CB103,Community Board 103
New York City Community Board 104,NYCCB104,441,CB104,Community Board 104
New York City Community Board 105,NYCCB105,441,CB105,Community Board 105
New York City Community Board 106,NYCCB106,441,CB106,Community Board 106
New York City Community Board 107,NYCCB107,441,CB107,Community Board 107
New York City Community Board 108,NYCCB108,441,CB108,Community Board 108
